CustNo,ItemNo,InvDateCurr,InvDatePrior,PurchasePeriod
CKP105,01-4422,2015-08-03,2015-07-29,5
CKP105,01-4422,2015-08-04,2015-08-03,1
CKP105,01-4422,2015-08-08,2015-08-04,4
CKP105,01-4422,2015-08-17,2015-08-08,9
CKP105,01-4422,2015-08-18,2015-08-17,1
CKP105,01-4422,2015-08-31,2015-08-18,13
CKP105,01-4422,2015-09-03,2015-08-31,3
CKP105,01-4422,2015-09-08,2015-09-03,5
CKP105,01-4422,2015-09-10,2015-09-08,2
CKP105,01-4422,2015-09-12,2015-09-10,2
CKP105,01-4422,2015-09-17,2015-09-12,5
CKP105,01-4422,2015-09-22,2015-09-17,5
CKP105,01-4422,2015-10-03,2015-09-22,11
CKP105,01-4422,2015-11-02,2015-10-03,30
CKP105,01-4422,2015-11-24,2015-11-02,22
CKP105,01-4422,2016-01-26,2015-11-24,63
CKP105,01-4422,2016-05-07,2016-01-26,102
CKP105,01-4422,2016-05-10,2016-05-07,3
CKP105,01-4422,2016-05-11,2016-05-10,1
CKP105,01-4422,2016-05-12,2016-05-11,1
CKP105,01-4422,2016-05-16,2016-05-12,4
CKP105,01-4422,2016-05-19,2016-05-16,3
CKP105,01-4422,2016-05-21,2016-05-19,2
CKP105,01-4422,2016-05-27,2016-05-21,6
CKP105,01-4422,2016-06-01,2016-05-27,5
CKP105,01-4422,2016-06-02,2016-06-01,1
CKP105,01-4422,2016-06-04,2016-06-02,2
CKP105,01-4422,2016-06-06,2016-06-04,2
CKP105,01-4422,2016-06-07,2016-06-06,1
CKP105,01-4422,2016-06-09,2016-06-07,2
CKP105,01-4422,2016-06-13,2016-06-09,4
CKP105,01-4422,2016-06-18,2016-06-13,5
CKP105,01-4422,2016-06-20,2016-06-18,2
CKP105,01-4422,2016-06-22,2016-06-20,2
CKP105,01-4422,2016-06-23,2016-06-22,1
CKP105,01-4422,2016-06-25,2016-06-23,2
CKP105,01-4422,2016-06-27,2016-06-25,2
CKP105,01-4422,2016-06-29,2016-06-27,2
CKP105,01-4422,2016-06-30,2016-06-29,1
CKP105,01-4422,2016-07-05,2016-06-30,5
CKP105,01-4422,2016-07-07,2016-07-05,2
CKP105,01-4422,2016-07-09,2016-07-07,2
CKP105,01-4422,2016-07-11,2016-07-09,2
CKP105,01-4422,2016-07-12,2016-07-11,1
CKP105,01-4422,2016-07-13,2016-07-12,1
CKP105,01-4422,2016-07-16,2016-07-13,3
CKP105,01-4422,2016-07-18,2016-07-16,2
CKP105,01-4422,2016-07-19,2016-07-18,1
CKP105,01-4422,2016-07-20,2016-07-19,1
CKP105,01-4422,2016-07-21,2016-07-20,1
CKP105,01-4422,2016-07-23,2016-07-21,2
CKP105,01-4422,2016-07-25,2016-07-23,2
CKP105,01-4422,2016-07-26,2016-07-25,1
CKP105,01-4422,2016-07-27,2016-07-26,1
CKP105,01-4422,2016-07-28,2016-07-27,1
CKP105,01-4422,2016-08-01,2016-07-28,4
CKP105,01-4422,2016-08-02,2016-08-01,1
CKP105,01-4422,2016-08-03,2016-08-02,1
CKP105,01-4422,2016-08-08,2016-08-03,5
CKP105,01-4422,2016-08-11,2016-08-08,3
CKP105,01-4422,2016-08-12,2016-08-11,1
CKP105,01-4422,2016-08-16,2016-08-12,4
CKP105,01-4422,2016-08-17,2016-08-16,1
CKP105,01-4422,2016-08-20,2016-08-17,3
CKP105,01-4422,2016-08-22,2016-08-20,2
CKP105,01-4422,2016-08-25,2016-08-22,3
CKP105,01-4422,2016-08-26,2016-08-25,1
CKP105,01-4422,2016-08-30,2016-08-26,4
CKP105,01-4422,2016-09-01,2016-08-30,2
CKP105,01-4422,2016-09-02,2016-09-01,1
CKP105,01-4422,2016-09-06,2016-09-02,4
CKP105,01-4422,2016-09-08,2016-09-06,2
CKP105,01-4422,2016-09-09,2016-09-08,1
CKP105,01-4422,2016-09-12,2016-09-09,3
CKP105,01-4422,2016-09-13,2016-09-12,1
CKP105,01-4422,2016-09-14,2016-09-13,1
CKP105,01-4422,2016-09-16,2016-09-14,2
CKP105,01-4422,2016-09-19,2016-09-16,3
CKP105,01-4422,2016-09-20,2016-09-19,1
CKP105,01-4422,2016-09-21,2016-09-20,1
CKP105,01-4422,2016-09-22,2016-09-21,1
CKP105,01-4422,2016-09-23,2016-09-22,1
CKP105,01-4422,2016-09-27,2016-09-23,4
CKP105,01-4422,2016-09-28,2016-09-27,1
CKP105,01-4422,2016-10-01,2016-09-28,3
CKP105,01-4422,2016-10-04,2016-10-01,3
CKP105,01-4422,2016-10-06,2016-10-04,2
CKP105,01-4422,2016-10-08,2016-10-06,2
CKP105,01-4422,2016-10-10,2016-10-08,2
CKP105,01-4422,2016-10-11,2016-10-10,1
CKP105,01-4422,2016-10-12,2016-10-11,1
CKP105,01-4422,2016-10-13,2016-10-12,1
CKP105,01-4422,2016-10-18,2016-10-13,5
CKP105,01-4422,2016-10-20,2016-10-18,2
CKP105,01-4422,2016-10-22,2016-10-20,2
CKP105,01-4422,2016-10-24,2016-10-22,2
CKP105,01-4422,2016-10-25,2016-10-24,1
CKP105,01-4422,2016-10-28,2016-10-25,3
CKP105,01-4422,2016-10-31,2016-10-28,3
CKP105,01-4422,2016-11-05,2016-10-31,5
CKP105,01-4422,2016-11-07,2016-11-05,2
CKP105,01-4422,2016-11-09,2016-11-07,2
CKP105,01-4422,2016-11-10,2016-11-09,1
CKP105,01-4422,2016-11-12,2016-11-10,2
CKP105,01-4422,2016-11-14,2016-11-12,2
CKP105,01-4422,2016-11-21,2016-11-14,7
CKP105,01-4422,2016-11-29,2016-11-21,8
CKP105,01-4422,2016-11-30,2016-11-29,1
CKP105,01-4422,2016-12-01,2016-11-30,1
CKP105,01-4422,2016-12-02,2016-12-01,1
CKP105,01-4422,2016-12-06,2016-12-02,4
CKP105,01-4422,2016-12-07,2016-12-06,1
CKP105,01-4422,2016-12-10,2016-12-07,3
CKP105,01-4422,2016-12-14,2016-12-10,4
CKP105,01-4422,2016-12-15,2016-12-14,1
CKP105,01-4422,2016-12-17,2016-12-15,2
CKP105,01-4422,2016-12-19,2016-12-17,2
CKP105,01-4422,2016-12-20,2016-12-19,1
CKP105,01-4422,2016-12-21,2016-12-20,1
CKP105,01-4422,2016-12-27,2016-12-21,6
CKP105,01-4422,2016-12-28,2016-12-27,1
CKP105,01-4422,2017-01-03,2016-12-28,6
CKP105,01-4422,2017-01-04,2017-01-03,1
CKP105,01-4422,2017-01-05,2017-01-04,1
CKP105,01-4422,2017-01-07,2017-01-05,2
CKP105,01-4422,2017-01-09,2017-01-07,2
CKP105,01-4422,2017-01-11,2017-01-09,2
CKP105,01-4422,2017-01-12,2017-01-11,1
CKP105,01-4422,2017-01-14,2017-01-12,2
CKP105,01-4422,2017-01-18,2017-01-14,4
CKP105,01-4422,2017-01-21,2017-01-18,3
CKP105,01-4422,2017-01-23,2017-01-21,2
CKP105,01-4422,2017-01-24,2017-01-23,1
CKP105,01-4422,2017-01-25,2017-01-24,1
CKP105,01-4422,2017-01-26,2017-01-25,1
CKP105,01-4422,2017-01-27,2017-01-26,1
CKP105,01-4422,2017-02-01,2017-01-27,5
CKP105,01-4422,2017-02-02,2017-02-01,1
CKP105,01-4422,2017-02-04,2017-02-02,2
