CustNo,ItemNo,InvDateCurr,InvDatePrior,PurchasePeriod
ADV121,02-6355,2015-11-05,2015-10-22,14
ADV121,02-6355,2015-12-04,2015-11-05,29
ADV121,02-6355,2015-12-22,2015-12-04,18
ADV121,02-6355,2016-02-16,2015-12-22,56
ADV121,02-6355,2016-03-04,2016-02-16,17
ADV121,02-6355,2016-04-14,2016-03-04,41
ADV121,02-6355,2016-05-05,2016-04-14,21
ADV121,02-6355,2016-06-03,2016-05-05,29
ADV121,02-6355,2016-08-03,2016-06-03,61
ADV121,02-6355,2016-09-30,2016-08-03,58
ADV121,02-6355,2016-10-06,2016-09-30,6
ADV121,02-6355,2017-01-24,2016-10-06,110
ADV121,02-6355,2017-01-26,2017-01-24,2
ADV121,02-6355,2017-02-20,2017-01-26,25
ADV121,02-6355,2017-02-25,2017-02-20,5
ADV121,02-6355,2017-03-02,2017-02-25,5
