CustNo,ItemNo,InvDateCurr,InvDatePrior,PurchasePeriod
AFH100,02-0524,2015-09-28,2015-09-16,12
AFH100,02-0524,2015-10-06,2015-09-28,8
AFH100,02-0524,2015-10-19,2015-10-06,13
AFH100,02-0524,2015-11-04,2015-10-19,16
AFH100,02-0524,2015-11-30,2015-11-04,26
AFH100,02-0524,2015-12-18,2015-11-30,18
AFH100,02-0524,2016-01-26,2015-12-18,39
AFH100,02-0524,2016-02-01,2016-01-26,6
AFH100,02-0524,2016-02-23,2016-02-01,22
AFH100,02-0524,2016-02-25,2016-02-23,2
AFH100,02-0524,2016-03-15,2016-02-25,19
AFH100,02-0524,2016-05-11,2016-03-15,57
AFH100,02-0524,2016-08-24,2016-05-11,105
AFH100,02-0524,2017-01-27,2016-08-24,156
