CustNo,ItemNo,InvDateCurr,InvDatePrior,PurchasePeriod
ALL152,02-4213,2016-05-11,2016-04-18,23
ALL152,02-4213,2016-06-15,2016-05-11,35
ALL152,02-4213,2016-07-20,2016-06-15,35
ALL152,02-4213,2016-08-30,2016-07-20,41
ALL152,02-4213,2016-09-19,2016-08-30,20
ALL152,02-4213,2016-10-17,2016-09-19,28
ALL152,02-4213,2016-11-09,2016-10-17,23
ALL152,02-4213,2016-11-15,2016-11-09,6
ALL152,02-4213,2016-11-16,2016-11-15,1
ALL152,02-4213,2017-01-09,2016-11-16,54
ALL152,02-4213,2017-02-13,2017-01-09,35
ALL152,02-4213,2017-04-26,2017-02-13,72
