CustNo,ItemNo,InvDateCurr,InvDatePrior,PurchasePeriod
APP121,02-7705,2017-01-14,2016-12-22,23
APP121,02-7705,2017-02-07,2017-01-14,24
APP121,02-7705,2017-03-07,2017-02-07,28
APP121,02-7705,2017-04-06,2017-03-07,30
APP121,02-7705,2017-04-24,2017-04-06,18
APP121,02-7705,2017-05-22,2017-04-24,28
APP121,02-7705,2017-06-02,2017-05-22,11
APP121,02-7705,2017-06-15,2017-06-02,13
APP121,02-7705,2017-07-03,2017-06-15,18
APP121,02-7705,2017-07-24,2017-07-03,21
APP121,02-7705,2017-08-03,2017-07-24,10
APP121,02-7705,2017-08-24,2017-08-03,21
APP121,02-7705,2017-09-06,2017-08-24,13
