CustNo,ItemNo,InvDateCurr,InvDatePrior,PurchasePeriod
AVE122,10-5366,2017-02-28,2017-02-15,13
AVE122,10-5366,2017-03-06,2017-02-28,6
AVE122,10-5366,2017-03-15,2017-03-06,9
AVE122,10-5366,2017-04-17,2017-03-15,33
AVE122,10-5366,2017-04-29,2017-04-17,12
AVE122,10-5366,2017-06-21,2017-04-29,53
AVE122,10-5366,2017-07-03,2017-06-21,12
AVE122,10-5366,2017-07-07,2017-07-03,4
AVE122,10-5366,2017-07-10,2017-07-07,3
AVE122,10-5366,2017-09-05,2017-07-10,57
AVE122,10-5366,2017-10-02,2017-09-05,27
AVE122,10-5366,2017-10-25,2017-10-02,23
AVE122,10-5366,2017-12-01,2017-10-25,37
