CustNo,ItemNo,InvDateCurr,InvDatePrior,PurchasePeriod
BAL118,06-4840,2016-08-29,2016-08-02,27
BAL118,06-4840,2016-09-14,2016-08-29,16
BAL118,06-4840,2016-09-21,2016-09-14,7
BAL118,06-4840,2016-09-27,2016-09-21,6
BAL118,06-4840,2016-09-30,2016-09-27,3
BAL118,06-4840,2016-10-19,2016-09-30,19
BAL118,06-4840,2016-10-25,2016-10-19,6
BAL118,06-4840,2016-11-14,2016-10-25,20
BAL118,06-4840,2016-11-21,2016-11-14,7
BAL118,06-4840,2017-01-18,2016-11-21,58
BAL118,06-4840,2017-01-20,2017-01-18,2
BAL118,06-4840,2017-01-30,2017-01-20,10
BAL118,06-4840,2017-02-08,2017-01-30,9
BAL118,06-4840,2017-03-13,2017-02-08,33
BAL118,06-4840,2017-03-29,2017-03-13,16
BAL118,06-4840,2017-04-13,2017-03-29,15
BAL118,06-4840,2017-04-20,2017-04-13,7
BAL118,06-4840,2017-04-28,2017-04-20,8
BAL118,06-4840,2017-05-01,2017-04-28,3
BAL118,06-4840,2017-05-10,2017-05-01,9
BAL118,06-4840,2017-06-12,2017-05-10,33
BAL118,06-4840,2017-07-07,2017-06-12,25
BAL118,06-4840,2017-07-14,2017-07-07,7
BAL118,06-4840,2017-07-20,2017-07-14,6
BAL118,06-4840,2017-07-25,2017-07-20,5
BAL118,06-4840,2017-08-02,2017-07-25,8
BAL118,06-4840,2017-08-16,2017-08-02,14
BAL118,06-4840,2017-08-31,2017-08-16,15
BAL118,06-4840,2017-09-11,2017-08-31,11
BAL118,06-4840,2017-09-20,2017-09-11,9
BAL118,06-4840,2017-09-26,2017-09-20,6
BAL118,06-4840,2017-10-02,2017-09-26,6
