CustNo,ItemNo,InvDateCurr,InvDatePrior,PurchasePeriod
BEL164,SPC1145,2015-09-03,2015-08-17,17
BEL164,SPC1145,2015-09-08,2015-09-03,5
BEL164,SPC1145,2015-09-15,2015-09-08,7
BEL164,SPC1145,2017-05-10,2015-09-15,603
BEL164,SPC1145,2017-05-15,2017-05-10,5
BEL164,SPC1145,2017-05-22,2017-05-15,7
BEL164,SPC1145,2017-05-24,2017-05-22,2
BEL164,SPC1145,2017-06-01,2017-05-24,8
BEL164,SPC1145,2017-06-05,2017-06-01,4
BEL164,SPC1145,2017-06-08,2017-06-05,3
BEL164,SPC1145,2017-06-12,2017-06-08,4
BEL164,SPC1145,2017-06-14,2017-06-12,2
BEL164,SPC1145,2017-06-21,2017-06-14,7
BEL164,SPC1145,2017-07-05,2017-06-21,14
BEL164,SPC1145,2017-07-08,2017-07-05,3
BEL164,SPC1145,2017-07-10,2017-07-08,2
BEL164,SPC1145,2017-07-18,2017-07-10,8
BEL164,SPC1145,2017-07-19,2017-07-18,1
BEL164,SPC1145,2017-07-25,2017-07-19,6
