CustNo,ItemNo,InvDateCurr,InvDatePrior,PurchasePeriod
BLA143,02-8572,2015-06-29,2015-05-15,45
BLA143,02-8572,2015-07-30,2015-06-29,31
BLA143,02-8572,2015-11-12,2015-07-30,105
BLA143,02-8572,2015-12-03,2015-11-12,21
BLA143,02-8572,2015-12-23,2015-12-03,20
BLA143,02-8572,2016-01-14,2015-12-23,22
BLA143,02-8572,2016-02-18,2016-01-14,35
BLA143,02-8572,2016-03-18,2016-02-18,29
BLA143,02-8572,2016-04-22,2016-03-18,35
BLA143,02-8572,2016-05-12,2016-04-22,20
BLA143,02-8572,2016-06-17,2016-05-12,36
BLA143,02-8572,2016-07-26,2016-06-17,39
BLA143,02-8572,2016-08-16,2016-07-26,21
BLA143,02-8572,2016-09-01,2016-08-16,16
BLA143,02-8572,2016-10-08,2016-09-01,37
BLA143,02-8572,2017-02-07,2016-10-08,122
BLA143,02-8572,2017-03-09,2017-02-07,30
