CustNo,ItemNo,InvDateCurr,InvDatePrior,PurchasePeriod
BON124,02-1524,2015-10-22,2015-05-06,169
BON124,02-1524,2015-11-11,2015-10-22,20
BON124,02-1524,2015-12-10,2015-11-11,29
BON124,02-1524,2016-01-04,2015-12-10,25
BON124,02-1524,2016-01-19,2016-01-04,15
BON124,02-1524,2016-02-19,2016-01-19,31
BON124,02-1524,2016-03-08,2016-02-19,18
BON124,02-1524,2016-03-21,2016-03-08,13
BON124,02-1524,2016-04-05,2016-03-21,15
BON124,02-1524,2016-04-06,2016-04-05,1
BON124,02-1524,2016-04-21,2016-04-06,15
BON124,02-1524,2016-04-29,2016-04-21,8
