CustNo,ItemNo,InvDateCurr,InvDatePrior,PurchasePeriod
BRO241,02-7386,2016-07-11,2016-06-23,18
BRO241,02-7386,2016-07-14,2016-07-11,3
BRO241,02-7386,2016-08-11,2016-07-14,28
BRO241,02-7386,2016-09-01,2016-08-11,21
BRO241,02-7386,2016-09-14,2016-09-01,13
BRO241,02-7386,2016-09-28,2016-09-14,14
BRO241,02-7386,2016-10-17,2016-09-28,19
BRO241,02-7386,2016-11-01,2016-10-17,15
BRO241,02-7386,2016-11-16,2016-11-01,15
BRO241,02-7386,2016-11-29,2016-11-16,13
BRO241,02-7386,2016-12-20,2016-11-29,21
BRO241,02-7386,2017-01-04,2016-12-20,15
BRO241,02-7386,2017-02-08,2017-01-04,35
