CustNo,ItemNo,InvDateCurr,InvDatePrior,PurchasePeriod
BRY114,02-6693,2016-05-17,2016-05-04,13
BRY114,02-6693,2016-05-24,2016-05-17,7
BRY114,02-6693,2016-05-26,2016-05-24,2
BRY114,02-6693,2016-06-02,2016-05-26,7
BRY114,02-6693,2016-06-21,2016-06-02,19
BRY114,02-6693,2016-06-28,2016-06-21,7
BRY114,02-6693,2016-07-05,2016-06-28,7
BRY114,02-6693,2016-07-12,2016-07-05,7
BRY114,02-6693,2016-07-19,2016-07-12,7
BRY114,02-6693,2016-07-25,2016-07-19,6
BRY114,02-6693,2016-08-16,2016-07-25,22
BRY114,02-6693,2016-08-23,2016-08-16,7
BRY114,02-6693,2016-08-30,2016-08-23,7
BRY114,02-6693,2016-09-23,2016-08-30,24
BRY114,02-6693,2016-10-11,2016-09-23,18
BRY114,02-6693,2016-10-18,2016-10-11,7
BRY114,02-6693,2016-12-02,2016-10-18,45
BRY114,02-6693,2016-12-14,2016-12-02,12
