CustNo,ItemNo,InvDateCurr,InvDatePrior,PurchasePeriod
BUR109,02-4975,2016-06-29,2016-06-21,8
BUR109,02-4975,2016-08-19,2016-06-29,51
BUR109,02-4975,2016-09-16,2016-08-19,28
BUR109,02-4975,2016-09-17,2016-09-16,1
BUR109,02-4975,2016-09-20,2016-09-17,3
BUR109,02-4975,2016-09-21,2016-09-20,1
BUR109,02-4975,2016-11-09,2016-09-21,49
BUR109,02-4975,2016-11-19,2016-11-09,10
BUR109,02-4975,2017-01-10,2016-11-19,52
BUR109,02-4975,2017-02-07,2017-01-10,28
BUR109,02-4975,2017-02-20,2017-02-07,13
BUR109,02-4975,2017-03-17,2017-02-20,25
BUR109,02-4975,2017-04-19,2017-03-17,33
