CustNo,ItemNo,InvDateCurr,InvDatePrior,PurchasePeriod
CEN273,02-1196,2015-06-01,2015-05-04,28
CEN273,02-1196,2015-07-01,2015-06-01,30
CEN273,02-1196,2015-08-03,2015-07-01,33
CEN273,02-1196,2015-09-01,2015-08-03,29
CEN273,02-1196,2015-10-01,2015-09-01,30
CEN273,02-1196,2015-11-02,2015-10-01,32
CEN273,02-1196,2015-12-01,2015-11-02,29
CEN273,02-1196,2016-01-04,2015-12-01,34
CEN273,02-1196,2016-02-02,2016-01-04,29
CEN273,02-1196,2016-03-02,2016-02-02,29
CEN273,02-1196,2017-02-28,2016-03-02,363
CEN273,02-1196,2017-03-08,2017-02-28,8
