CustNo,ItemNo,InvDateCurr,InvDatePrior,PurchasePeriod
CHI125,02-8236,2016-04-29,2016-04-13,16
CHI125,02-8236,2016-05-05,2016-04-29,6
CHI125,02-8236,2016-05-09,2016-05-05,4
CHI125,02-8236,2016-05-13,2016-05-09,4
CHI125,02-8236,2016-05-18,2016-05-13,5
CHI125,02-8236,2016-11-22,2016-05-18,188
CHI125,02-8236,2016-12-06,2016-11-22,14
CHI125,02-8236,2016-12-08,2016-12-06,2
CHI125,02-8236,2016-12-14,2016-12-08,6
CHI125,02-8236,2016-12-16,2016-12-14,2
CHI125,02-8236,2016-12-30,2016-12-16,14
CHI125,02-8236,2017-01-04,2016-12-30,5
CHI125,02-8236,2017-01-05,2017-01-04,1
CHI125,02-8236,2017-01-09,2017-01-05,4
CHI125,02-8236,2017-01-12,2017-01-09,3
CHI125,02-8236,2017-01-24,2017-01-12,12
CHI125,02-8236,2017-01-30,2017-01-24,6
CHI125,02-8236,2017-01-31,2017-01-30,1
CHI125,02-8236,2017-02-02,2017-01-31,2
CHI125,02-8236,2017-02-17,2017-02-02,15
CHI125,02-8236,2017-02-21,2017-02-17,4
CHI125,02-8236,2017-02-24,2017-02-21,3
CHI125,02-8236,2017-02-27,2017-02-24,3
CHI125,02-8236,2017-03-02,2017-02-27,3
CHI125,02-8236,2017-03-03,2017-03-02,1
CHI125,02-8236,2017-03-13,2017-03-03,10
CHI125,02-8236,2017-03-16,2017-03-13,3
