CustNo,ItemNo,InvDateCurr,InvDatePrior,PurchasePeriod
CHO100,01-5469,2016-02-18,2015-06-11,252
CHO100,01-5469,2016-03-17,2016-02-18,28
CHO100,01-5469,2016-05-27,2016-03-17,71
CHO100,01-5469,2016-06-30,2016-05-27,34
CHO100,01-5469,2016-08-06,2016-06-30,37
CHO100,01-5469,2016-09-08,2016-08-06,33
CHO100,01-5469,2016-09-29,2016-09-08,21
CHO100,01-5469,2016-10-13,2016-09-29,14
CHO100,01-5469,2016-10-20,2016-10-13,7
CHO100,01-5469,2016-11-04,2016-10-20,15
CHO100,01-5469,2016-12-01,2016-11-04,27
CHO100,01-5469,2016-12-15,2016-12-01,14
CHO100,01-5469,2016-12-22,2016-12-15,7
CHO100,01-5469,2017-01-13,2016-12-22,22
