CustNo,ItemNo,InvDateCurr,InvDatePrior,PurchasePeriod
COL212,01-5675,2016-05-19,2016-02-23,86
COL212,01-5675,2016-08-24,2016-05-19,97
COL212,01-5675,2016-10-12,2016-08-24,49
COL212,01-5675,2016-11-21,2016-10-12,40
COL212,01-5675,2017-03-29,2016-11-21,128
COL212,01-5675,2017-04-24,2017-03-29,26
COL212,01-5675,2017-06-06,2017-04-24,43
COL212,01-5675,2017-08-08,2017-06-06,63
COL212,01-5675,2017-08-29,2017-08-08,21
COL212,01-5675,2017-08-31,2017-08-29,2
COL212,01-5675,2017-09-11,2017-08-31,11
COL212,01-5675,2017-10-16,2017-09-11,35
COL212,01-5675,2017-11-13,2017-10-16,28
