CustNo,ItemNo,InvDateCurr,InvDatePrior,PurchasePeriod
CPS101,06-2444,2016-08-30,2016-08-24,6
CPS101,06-2444,2016-09-01,2016-08-30,2
CPS101,06-2444,2016-09-19,2016-09-01,18
CPS101,06-2444,2016-09-26,2016-09-19,7
CPS101,06-2444,2016-09-27,2016-09-26,1
CPS101,06-2444,2016-10-03,2016-09-27,6
CPS101,06-2444,2016-10-06,2016-10-03,3
CPS101,06-2444,2016-10-08,2016-10-06,2
CPS101,06-2444,2016-10-21,2016-10-08,13
CPS101,06-2444,2016-10-26,2016-10-21,5
CPS101,06-2444,2016-11-18,2016-10-26,23
CPS101,06-2444,2017-02-02,2016-11-18,76
CPS101,06-2444,2017-02-07,2017-02-02,5
