CustNo,ItemNo,InvDateCurr,InvDatePrior,PurchasePeriod
EQU103,02-8417,2016-10-13,2016-10-06,7
EQU103,02-8417,2016-10-20,2016-10-13,7
EQU103,02-8417,2016-11-17,2016-10-20,28
EQU103,02-8417,2017-08-31,2016-11-17,287
EQU103,02-8417,2017-09-20,2017-08-31,20
EQU103,02-8417,2017-09-21,2017-09-20,1
EQU103,02-8417,2017-09-22,2017-09-21,1
EQU103,02-8417,2017-09-29,2017-09-22,7
EQU103,02-8417,2017-10-04,2017-09-29,5
EQU103,02-8417,2017-10-09,2017-10-04,5
EQU103,02-8417,2017-10-10,2017-10-09,1
EQU103,02-8417,2017-10-13,2017-10-10,3
