CustNo,ItemNo,InvDateCurr,InvDatePrior,PurchasePeriod
GLE109,02-6749,2015-10-13,2015-10-05,8
GLE109,02-6749,2015-10-22,2015-10-13,9
GLE109,02-6749,2015-12-03,2015-10-22,42
GLE109,02-6749,2015-12-09,2015-12-03,6
GLE109,02-6749,2015-12-29,2015-12-09,20
GLE109,02-6749,2016-01-19,2015-12-29,21
GLE109,02-6749,2016-04-08,2016-01-19,80
GLE109,02-6749,2016-05-31,2016-04-08,53
GLE109,02-6749,2016-06-08,2016-05-31,8
GLE109,02-6749,2016-06-29,2016-06-08,21
GLE109,02-6749,2016-07-26,2016-06-29,27
GLE109,02-6749,2016-08-30,2016-07-26,35
GLE109,02-6749,2016-09-09,2016-08-30,10
GLE109,02-6749,2016-10-11,2016-09-09,32
GLE109,02-6749,2017-01-20,2016-10-11,101
GLE109,02-6749,2017-04-19,2017-01-20,89
