CustNo,ItemNo,InvDateCurr,InvDatePrior,PurchasePeriod
GNL100,02-3520,2016-05-27,2016-01-18,130
GNL100,02-3520,2016-06-11,2016-05-27,15
GNL100,02-3520,2016-07-11,2016-06-11,30
GNL100,02-3520,2016-07-18,2016-07-11,7
GNL100,02-3520,2016-11-15,2016-07-18,120
GNL100,02-3520,2016-12-02,2016-11-15,17
GNL100,02-3520,2016-12-15,2016-12-02,13
GNL100,02-3520,2016-12-16,2016-12-15,1
GNL100,02-3520,2016-12-30,2016-12-16,14
GNL100,02-3520,2017-02-03,2016-12-30,35
GNL100,02-3520,2017-04-04,2017-02-03,60
GNL100,02-3520,2017-04-14,2017-04-04,10
GNL100,02-3520,2017-10-03,2017-04-14,172
GNL100,02-3520,2017-11-16,2017-10-03,44
