CustNo,ItemNo,InvDateCurr,InvDatePrior,PurchasePeriod
GRE176,02-8505,2016-12-14,2015-10-12,429
GRE176,02-8505,2016-12-27,2016-12-14,13
GRE176,02-8505,2017-01-09,2016-12-27,13
GRE176,02-8505,2017-01-12,2017-01-09,3
GRE176,02-8505,2017-03-06,2017-01-12,53
GRE176,02-8505,2017-03-16,2017-03-06,10
GRE176,02-8505,2017-04-14,2017-03-16,29
GRE176,02-8505,2017-04-28,2017-04-14,14
GRE176,02-8505,2017-08-29,2017-04-28,123
GRE176,02-8505,2017-09-05,2017-08-29,7
GRE176,02-8505,2017-09-13,2017-09-05,8
GRE176,02-8505,2017-10-02,2017-09-13,19
GRE176,02-8505,2017-10-11,2017-10-02,9
GRE176,02-8505,2017-11-03,2017-10-11,23
GRE176,02-8505,2017-11-13,2017-11-03,10
GRE176,02-8505,2017-11-30,2017-11-13,17
