CustNo,ItemNo,InvDateCurr,InvDatePrior,PurchasePeriod
GRI121,02-3627,2015-06-18,2015-05-19,30
GRI121,02-3627,2015-07-20,2015-06-18,32
GRI121,02-3627,2015-08-25,2015-07-20,36
GRI121,02-3627,2015-10-14,2015-08-25,50
GRI121,02-3627,2015-10-21,2015-10-14,7
GRI121,02-3627,2016-01-08,2015-10-21,79
GRI121,02-3627,2016-02-22,2016-01-08,45
GRI121,02-3627,2016-03-03,2016-02-22,10
GRI121,02-3627,2016-03-31,2016-03-03,28
GRI121,02-3627,2016-04-21,2016-03-31,21
GRI121,02-3627,2016-05-13,2016-04-21,22
GRI121,02-3627,2016-06-13,2016-05-13,31
GRI121,02-3627,2016-07-05,2016-06-13,22
