CustNo,ItemNo,InvDateCurr,InvDatePrior,PurchasePeriod
HAR280,SPC1091,2017-04-10,2017-04-05,5
HAR280,SPC1091,2017-04-22,2017-04-10,12
HAR280,SPC1091,2017-04-24,2017-04-22,2
HAR280,SPC1091,2017-05-01,2017-04-24,7
HAR280,SPC1091,2017-05-08,2017-05-01,7
HAR280,SPC1091,2017-05-15,2017-05-08,7
HAR280,SPC1091,2017-05-17,2017-05-15,2
HAR280,SPC1091,2017-05-23,2017-05-17,6
HAR280,SPC1091,2017-05-26,2017-05-23,3
HAR280,SPC1091,2017-06-05,2017-05-26,10
HAR280,SPC1091,2017-06-15,2017-06-05,10
HAR280,SPC1091,2017-06-21,2017-06-15,6
HAR280,SPC1091,2017-06-28,2017-06-21,7
HAR280,SPC1091,2017-07-10,2017-06-28,12
HAR280,SPC1091,2017-07-12,2017-07-10,2
