CustNo,ItemNo,InvDateCurr,InvDatePrior,PurchasePeriod
HAW106,06-6035,2017-07-13,2017-07-07,6
HAW106,06-6035,2017-08-02,2017-07-13,20
HAW106,06-6035,2017-08-10,2017-08-02,8
HAW106,06-6035,2017-08-22,2017-08-10,12
HAW106,06-6035,2017-09-11,2017-08-22,20
HAW106,06-6035,2017-09-23,2017-09-11,12
HAW106,06-6035,2017-10-02,2017-09-23,9
HAW106,06-6035,2017-10-16,2017-10-02,14
HAW106,06-6035,2017-10-20,2017-10-16,4
HAW106,06-6035,2017-10-26,2017-10-20,6
HAW106,06-6035,2017-11-02,2017-10-26,7
HAW106,06-6035,2017-11-10,2017-11-02,8
HAW106,06-6035,2017-11-29,2017-11-10,19
HAW106,06-6035,2017-12-12,2017-11-29,13
