CustNo,ItemNo,InvDateCurr,InvDatePrior,PurchasePeriod
HER168,02-6658,2017-04-27,2017-03-21,37
HER168,02-6658,2017-05-01,2017-04-27,4
HER168,02-6658,2017-06-01,2017-05-01,31
HER168,02-6658,2017-06-12,2017-06-01,11
HER168,02-6658,2017-06-17,2017-06-12,5
HER168,02-6658,2017-07-05,2017-06-17,18
HER168,02-6658,2017-08-07,2017-07-05,33
HER168,02-6658,2017-08-23,2017-08-07,16
HER168,02-6658,2017-08-28,2017-08-23,5
HER168,02-6658,2017-09-25,2017-08-28,28
HER168,02-6658,2017-11-09,2017-09-25,45
HER168,02-6658,2017-12-11,2017-11-09,32
