CustNo,ItemNo,InvDateCurr,InvDatePrior,PurchasePeriod
HPS100,02-2802,2015-07-20,2015-05-07,74
HPS100,02-2802,2015-09-29,2015-07-20,71
HPS100,02-2802,2015-11-03,2015-09-29,35
HPS100,02-2802,2015-11-20,2015-11-03,17
HPS100,02-2802,2016-01-07,2015-11-20,48
HPS100,02-2802,2016-02-04,2016-01-07,28
HPS100,02-2802,2016-02-22,2016-02-04,18
HPS100,02-2802,2016-02-29,2016-02-22,7
HPS100,02-2802,2016-04-18,2016-02-29,49
HPS100,02-2802,2017-06-08,2016-04-18,416
HPS100,02-2802,2017-10-17,2017-06-08,131
HPS100,02-2802,2017-10-20,2017-10-17,3
HPS100,02-2802,2017-11-27,2017-10-20,38
