CustNo,ItemNo,InvDateCurr,InvDatePrior,PurchasePeriod
JEL100,02-6693,2016-05-27,2016-05-23,4
JEL100,02-6693,2016-08-01,2016-05-27,66
JEL100,02-6693,2016-08-08,2016-08-01,7
JEL100,02-6693,2016-08-12,2016-08-08,4
JEL100,02-6693,2016-08-15,2016-08-12,3
JEL100,02-6693,2016-08-19,2016-08-15,4
JEL100,02-6693,2016-08-29,2016-08-19,10
JEL100,02-6693,2016-09-01,2016-08-29,3
JEL100,02-6693,2016-09-06,2016-09-01,5
JEL100,02-6693,2016-09-07,2016-09-06,1
JEL100,02-6693,2016-09-09,2016-09-07,2
JEL100,02-6693,2016-09-13,2016-09-09,4
JEL100,02-6693,2016-09-19,2016-09-13,6
JEL100,02-6693,2016-09-26,2016-09-19,7
JEL100,02-6693,2016-09-28,2016-09-26,2
JEL100,02-6693,2016-09-30,2016-09-28,2
JEL100,02-6693,2016-10-04,2016-09-30,4
JEL100,02-6693,2016-10-06,2016-10-04,2
JEL100,02-6693,2016-10-10,2016-10-06,4
JEL100,02-6693,2016-10-13,2016-10-10,3
JEL100,02-6693,2016-10-14,2016-10-13,1
JEL100,02-6693,2016-10-17,2016-10-14,3
JEL100,02-6693,2016-10-19,2016-10-17,2
JEL100,02-6693,2016-10-21,2016-10-19,2
JEL100,02-6693,2016-12-27,2016-10-21,67
JEL100,02-6693,2016-12-28,2016-12-27,1
JEL100,02-6693,2017-01-03,2016-12-28,6
JEL100,02-6693,2017-01-05,2017-01-03,2
JEL100,02-6693,2017-01-09,2017-01-05,4
JEL100,02-6693,2017-01-10,2017-01-09,1
JEL100,02-6693,2017-01-16,2017-01-10,6
JEL100,02-6693,2017-01-17,2017-01-16,1
JEL100,02-6693,2017-01-19,2017-01-17,2
JEL100,02-6693,2017-01-26,2017-01-19,7
JEL100,02-6693,2017-01-30,2017-01-26,4
JEL100,02-6693,2017-02-01,2017-01-30,2
JEL100,02-6693,2017-02-03,2017-02-01,2
JEL100,02-6693,2017-04-24,2017-02-03,80
JEL100,02-6693,2017-05-12,2017-04-24,18
JEL100,02-6693,2017-05-15,2017-05-12,3
JEL100,02-6693,2017-05-22,2017-05-15,7
JEL100,02-6693,2017-05-23,2017-05-22,1
JEL100,02-6693,2017-06-15,2017-05-23,23
JEL100,02-6693,2017-06-20,2017-06-15,5
JEL100,02-6693,2017-06-26,2017-06-20,6
JEL100,02-6693,2017-07-18,2017-06-26,22
