CustNo,ItemNo,InvDateCurr,InvDatePrior,PurchasePeriod
JEN112,SPC1498,2016-09-16,2016-05-13,126
JEN112,SPC1498,2016-09-20,2016-09-16,4
JEN112,SPC1498,2016-10-04,2016-09-20,14
JEN112,SPC1498,2016-10-24,2016-10-04,20
JEN112,SPC1498,2016-12-28,2016-10-24,65
JEN112,SPC1498,2016-12-29,2016-12-28,1
JEN112,SPC1498,2017-01-09,2016-12-29,11
JEN112,SPC1498,2017-02-09,2017-01-09,31
JEN112,SPC1498,2017-02-20,2017-02-09,11
JEN112,SPC1498,2017-05-22,2017-02-20,91
JEN112,SPC1498,2017-05-30,2017-05-22,8
JEN112,SPC1498,2017-06-15,2017-05-30,16
JEN112,SPC1498,2017-09-13,2017-06-15,90
JEN112,SPC1498,2017-10-03,2017-09-13,20
JEN112,SPC1498,2017-10-31,2017-10-03,28
JEN112,SPC1498,2017-11-01,2017-10-31,1
JEN112,SPC1498,2017-11-02,2017-11-01,1
JEN112,SPC1498,2017-11-07,2017-11-02,5
JEN112,SPC1498,2017-11-15,2017-11-07,8
JEN112,SPC1498,2017-12-06,2017-11-15,21
