CustNo,ItemNo,InvDateCurr,InvDatePrior,PurchasePeriod
JOU101,06-6972,2017-02-15,2016-02-26,355
JOU101,06-6972,2017-03-09,2017-02-15,22
JOU101,06-6972,2017-03-10,2017-03-09,1
JOU101,06-6972,2017-04-20,2017-03-10,41
JOU101,06-6972,2017-04-21,2017-04-20,1
JOU101,06-6972,2017-05-15,2017-04-21,24
JOU101,06-6972,2017-05-17,2017-05-15,2
JOU101,06-6972,2017-05-22,2017-05-17,5
JOU101,06-6972,2017-06-19,2017-05-22,28
JOU101,06-6972,2017-06-21,2017-06-19,2
JOU101,06-6972,2017-07-31,2017-06-21,40
JOU101,06-6972,2017-08-14,2017-07-31,14
