CustNo,ItemNo,InvDateCurr,InvDatePrior,PurchasePeriod
KEL119,02-8466,2015-09-08,2015-08-18,21
KEL119,02-8466,2016-03-07,2015-09-08,181
KEL119,02-8466,2016-03-23,2016-03-07,16
KEL119,02-8466,2016-07-27,2016-03-23,126
KEL119,02-8466,2016-09-06,2016-07-27,41
KEL119,02-8466,2016-09-07,2016-09-06,1
KEL119,02-8466,2016-10-04,2016-09-07,27
KEL119,02-8466,2016-12-12,2016-10-04,69
KEL119,02-8466,2016-12-15,2016-12-12,3
KEL119,02-8466,2016-12-28,2016-12-15,13
KEL119,02-8466,2017-01-04,2016-12-28,7
KEL119,02-8466,2017-05-30,2017-01-04,146
KEL119,02-8466,2017-05-31,2017-05-30,1
KEL119,02-8466,2017-06-01,2017-05-31,1
KEL119,02-8466,2017-06-26,2017-06-01,25
KEL119,02-8466,2017-07-06,2017-06-26,10
KEL119,02-8466,2017-07-25,2017-07-06,19
KEL119,02-8466,2017-07-27,2017-07-25,2
KEL119,02-8466,2017-08-22,2017-07-27,26
KEL119,02-8466,2017-10-09,2017-08-22,48
KEL119,02-8466,2017-11-09,2017-10-09,31
