CustNo,ItemNo,InvDateCurr,InvDatePrior,PurchasePeriod
KEN144,02-3188,2016-08-01,2016-06-11,51
KEN144,02-3188,2016-08-29,2016-08-01,28
KEN144,02-3188,2016-09-15,2016-08-29,17
KEN144,02-3188,2016-12-23,2016-09-15,99
KEN144,02-3188,2016-12-29,2016-12-23,6
KEN144,02-3188,2017-01-30,2016-12-29,32
KEN144,02-3188,2017-01-31,2017-01-30,1
KEN144,02-3188,2017-05-26,2017-01-31,115
KEN144,02-3188,2017-06-10,2017-05-26,15
KEN144,02-3188,2017-06-14,2017-06-10,4
KEN144,02-3188,2017-06-20,2017-06-14,6
KEN144,02-3188,2017-06-29,2017-06-20,9
KEN144,02-3188,2017-07-31,2017-06-29,32
KEN144,02-3188,2017-11-27,2017-07-31,119
