CustNo,ItemNo,InvDateCurr,InvDatePrior,PurchasePeriod
KIN194,02-6049,2017-01-25,2016-11-04,82
KIN194,02-6049,2017-02-13,2017-01-25,19
KIN194,02-6049,2017-02-17,2017-02-13,4
KIN194,02-6049,2017-03-07,2017-02-17,18
KIN194,02-6049,2017-04-04,2017-03-07,28
KIN194,02-6049,2017-04-25,2017-04-04,21
KIN194,02-6049,2017-05-19,2017-04-25,24
KIN194,02-6049,2017-06-12,2017-05-19,24
KIN194,02-6049,2017-07-12,2017-06-12,30
KIN194,02-6049,2017-08-02,2017-07-12,21
KIN194,02-6049,2017-08-28,2017-08-02,26
KIN194,02-6049,2017-09-25,2017-08-28,28
KIN194,02-6049,2017-10-18,2017-09-25,23
KIN194,02-6049,2017-10-27,2017-10-18,9
KIN194,02-6049,2017-11-16,2017-10-27,20
