CustNo,ItemNo,InvDateCurr,InvDatePrior,PurchasePeriod
LAK104,02-1465,2015-12-03,2015-11-19,14
LAK104,02-1465,2016-01-07,2015-12-03,35
LAK104,02-1465,2016-02-04,2016-01-07,28
LAK104,02-1465,2016-02-18,2016-02-04,14
LAK104,02-1465,2016-02-25,2016-02-18,7
LAK104,02-1465,2016-04-07,2016-02-25,42
LAK104,02-1465,2016-04-16,2016-04-07,9
LAK104,02-1465,2016-05-12,2016-04-16,26
LAK104,02-1465,2016-05-19,2016-05-12,7
LAK104,02-1465,2016-06-02,2016-05-19,14
LAK104,02-1465,2016-06-30,2016-06-02,28
LAK104,02-1465,2016-07-07,2016-06-30,7
LAK104,02-1465,2016-07-28,2016-07-07,21
LAK104,02-1465,2016-08-04,2016-07-28,7
LAK104,02-1465,2016-08-11,2016-08-04,7
LAK104,02-1465,2016-08-18,2016-08-11,7
