CustNo,ItemNo,InvDateCurr,InvDatePrior,PurchasePeriod
LIT113,02-7373,2015-05-15,2015-05-06,9
LIT113,02-7373,2015-06-04,2015-05-15,20
LIT113,02-7373,2015-06-30,2015-06-04,26
LIT113,02-7373,2015-07-15,2015-06-30,15
LIT113,02-7373,2015-07-22,2015-07-15,7
LIT113,02-7373,2015-08-03,2015-07-22,12
LIT113,02-7373,2015-08-18,2015-08-03,15
LIT113,02-7373,2015-08-27,2015-08-18,9
LIT113,02-7373,2015-08-31,2015-08-27,4
LIT113,02-7373,2015-10-05,2015-08-31,35
LIT113,02-7373,2015-10-26,2015-10-05,21
LIT113,02-7373,2015-11-23,2015-10-26,28
LIT113,02-7373,2015-11-30,2015-11-23,7
LIT113,02-7373,2015-12-15,2015-11-30,15
LIT113,02-7373,2016-01-07,2015-12-15,23
LIT113,02-7373,2016-01-14,2016-01-07,7
LIT113,02-7373,2016-02-12,2016-01-14,29
LIT113,02-7373,2016-02-23,2016-02-12,11
LIT113,02-7373,2016-04-04,2016-02-23,41
LIT113,02-7373,2016-04-11,2016-04-04,7
LIT113,02-7373,2016-04-22,2016-04-11,11
LIT113,02-7373,2016-05-04,2016-04-22,12
LIT113,02-7373,2016-05-17,2016-05-04,13
LIT113,02-7373,2016-05-25,2016-05-17,8
LIT113,02-7373,2016-08-08,2016-05-25,75
LIT113,02-7373,2016-08-18,2016-08-08,10
LIT113,02-7373,2016-09-15,2016-08-18,28
LIT113,02-7373,2016-10-07,2016-09-15,22
LIT113,02-7373,2017-05-05,2016-10-07,210
LIT113,02-7373,2017-05-23,2017-05-05,18
LIT113,02-7373,2017-06-22,2017-05-23,30
LIT113,02-7373,2017-07-03,2017-06-22,11
LIT113,02-7373,2017-07-25,2017-07-03,22
LIT113,02-7373,2017-08-10,2017-07-25,16
LIT113,02-7373,2017-08-17,2017-08-10,7
LIT113,02-7373,2017-09-13,2017-08-17,27
LIT113,02-7373,2017-09-27,2017-09-13,14
LIT113,02-7373,2017-10-31,2017-09-27,34
LIT113,02-7373,2017-11-30,2017-10-31,30
LIT113,02-7373,2017-12-04,2017-11-30,4
