CustNo,ItemNo,InvDateCurr,InvDatePrior,PurchasePeriod
LOW106,02-7294,2015-11-02,2015-09-28,35
LOW106,02-7294,2015-11-30,2015-11-02,28
LOW106,02-7294,2015-12-28,2015-11-30,28
LOW106,02-7294,2016-01-22,2015-12-28,25
LOW106,02-7294,2016-02-18,2016-01-22,27
LOW106,02-7294,2016-03-11,2016-02-18,22
LOW106,02-7294,2016-04-15,2016-03-11,35
LOW106,02-7294,2016-05-27,2016-04-15,42
LOW106,02-7294,2016-07-12,2016-05-27,46
LOW106,02-7294,2016-08-17,2016-07-12,36
LOW106,02-7294,2016-09-16,2016-08-17,30
LOW106,02-7294,2016-10-11,2016-09-16,25
LOW106,02-7294,2016-11-07,2016-10-11,27
LOW106,02-7294,2016-12-07,2016-11-07,30
LOW106,02-7294,2017-01-16,2016-12-07,40
LOW106,02-7294,2017-02-10,2017-01-16,25
