CustNo,ItemNo,InvDateCurr,InvDatePrior,PurchasePeriod
MAK100,02-1814,2015-08-03,2015-07-30,4
MAK100,02-1814,2015-10-12,2015-08-03,70
MAK100,02-1814,2015-11-13,2015-10-12,32
MAK100,02-1814,2015-12-16,2015-11-13,33
MAK100,02-1814,2015-12-17,2015-12-16,1
MAK100,02-1814,2016-05-09,2015-12-17,144
MAK100,02-1814,2016-05-20,2016-05-09,11
MAK100,02-1814,2016-08-16,2016-05-20,88
MAK100,02-1814,2016-11-16,2016-08-16,92
MAK100,02-1814,2017-04-10,2016-11-16,145
MAK100,02-1814,2017-04-25,2017-04-10,15
MAK100,02-1814,2017-05-30,2017-04-25,35
MAK100,02-1814,2017-07-19,2017-05-30,50
