CustNo,ItemNo,InvDateCurr,InvDatePrior,PurchasePeriod
MAP144,01-3201,2017-03-23,2017-03-17,6
MAP144,01-3201,2017-03-30,2017-03-23,7
MAP144,01-3201,2017-04-03,2017-03-30,4
MAP144,01-3201,2017-04-04,2017-04-03,1
MAP144,01-3201,2017-04-06,2017-04-04,2
MAP144,01-3201,2017-04-17,2017-04-06,11
MAP144,01-3201,2017-04-19,2017-04-17,2
MAP144,01-3201,2017-04-21,2017-04-19,2
MAP144,01-3201,2017-04-26,2017-04-21,5
MAP144,01-3201,2017-05-01,2017-04-26,5
MAP144,01-3201,2017-06-27,2017-05-01,57
MAP144,01-3201,2017-07-07,2017-06-27,10
MAP144,01-3201,2017-07-13,2017-07-07,6
MAP144,01-3201,2017-07-20,2017-07-13,7
MAP144,01-3201,2017-07-28,2017-07-20,8
MAP144,01-3201,2017-08-07,2017-07-28,10
MAP144,01-3201,2017-08-10,2017-08-07,3
MAP144,01-3201,2017-08-17,2017-08-10,7
MAP144,01-3201,2017-08-28,2017-08-17,11
MAP144,01-3201,2017-10-10,2017-08-28,43
MAP144,01-3201,2017-10-16,2017-10-10,6
MAP144,01-3201,2017-10-17,2017-10-16,1
MAP144,01-3201,2017-10-23,2017-10-17,6
MAP144,01-3201,2017-10-24,2017-10-23,1
MAP144,01-3201,2017-11-22,2017-10-24,29
MAP144,01-3201,2017-11-29,2017-11-22,7
MAP144,01-3201,2017-12-04,2017-11-29,5
MAP144,01-3201,2017-12-05,2017-12-04,1
MAP144,01-3201,2017-12-06,2017-12-05,1
MAP144,01-3201,2017-12-08,2017-12-06,2
