CustNo,ItemNo,InvDateCurr,InvDatePrior,PurchasePeriod
MAT126,02-5191,2016-11-10,2016-11-08,2
MAT126,02-5191,2016-11-15,2016-11-10,5
MAT126,02-5191,2016-11-16,2016-11-15,1
MAT126,02-5191,2016-12-01,2016-11-16,15
MAT126,02-5191,2016-12-06,2016-12-01,5
MAT126,02-5191,2016-12-13,2016-12-06,7
MAT126,02-5191,2016-12-15,2016-12-13,2
MAT126,02-5191,2016-12-22,2016-12-15,7
MAT126,02-5191,2016-12-27,2016-12-22,5
MAT126,02-5191,2017-01-03,2016-12-27,7
MAT126,02-5191,2017-01-05,2017-01-03,2
MAT126,02-5191,2017-01-09,2017-01-05,4
MAT126,02-5191,2017-01-10,2017-01-09,1
