CustNo,ItemNo,InvDateCurr,InvDatePrior,PurchasePeriod
MCF106,02-0121,2016-09-07,2016-08-30,8
MCF106,02-0121,2016-09-15,2016-09-07,8
MCF106,02-0121,2016-09-30,2016-09-15,15
MCF106,02-0121,2016-10-05,2016-09-30,5
MCF106,02-0121,2016-10-07,2016-10-05,2
MCF106,02-0121,2016-10-13,2016-10-07,6
MCF106,02-0121,2016-11-11,2016-10-13,29
MCF106,02-0121,2016-11-28,2016-11-11,17
MCF106,02-0121,2016-12-05,2016-11-28,7
MCF106,02-0121,2016-12-06,2016-12-05,1
MCF106,02-0121,2016-12-12,2016-12-06,6
MCF106,02-0121,2016-12-27,2016-12-12,15
MCF106,02-0121,2017-01-03,2016-12-27,7
MCF106,02-0121,2017-01-04,2017-01-03,1
MCF106,02-0121,2017-01-10,2017-01-04,6
MCF106,02-0121,2017-01-27,2017-01-10,17
MCF106,02-0121,2017-02-01,2017-01-27,5
MCF106,02-0121,2017-02-06,2017-02-01,5
MCF106,02-0121,2017-02-10,2017-02-06,4
MCF106,02-0121,2017-02-27,2017-02-10,17
MCF106,02-0121,2017-03-03,2017-02-27,4
MCF106,02-0121,2017-03-13,2017-03-03,10
MCF106,02-0121,2017-03-29,2017-03-13,16
MCF106,02-0121,2017-04-04,2017-03-29,6
MCF106,02-0121,2017-04-07,2017-04-04,3
MCF106,02-0121,2017-04-11,2017-04-07,4
MCF106,02-0121,2017-04-19,2017-04-11,8
MCF106,02-0121,2017-04-27,2017-04-19,8
MCF106,02-0121,2017-05-10,2017-04-27,13
MCF106,02-0121,2017-06-27,2017-05-10,48
MCF106,02-0121,2017-07-03,2017-06-27,6
MCF106,02-0121,2017-07-25,2017-07-03,22
MCF106,02-0121,2017-07-27,2017-07-25,2
MCF106,02-0121,2017-08-08,2017-07-27,12
MCF106,02-0121,2017-08-18,2017-08-08,10
MCF106,02-0121,2017-08-23,2017-08-18,5
MCF106,02-0121,2017-08-25,2017-08-23,2
MCF106,02-0121,2017-08-28,2017-08-25,3
MCF106,02-0121,2017-08-29,2017-08-28,1
MCF106,02-0121,2017-08-30,2017-08-29,1
MCF106,02-0121,2017-09-01,2017-08-30,2
MCF106,02-0121,2017-09-07,2017-09-01,6
MCF106,02-0121,2017-09-19,2017-09-07,12
MCF106,02-0121,2017-09-21,2017-09-19,2
MCF106,02-0121,2017-09-26,2017-09-21,5
MCF106,02-0121,2017-09-27,2017-09-26,1
MCF106,02-0121,2017-10-04,2017-09-27,7
MCF106,02-0121,2017-10-16,2017-10-04,12
MCF106,02-0121,2017-10-30,2017-10-16,14
MCF106,02-0121,2017-11-03,2017-10-30,4
MCF106,02-0121,2017-11-13,2017-11-03,10
