CustNo,ItemNo,InvDateCurr,InvDatePrior,PurchasePeriod
MJR100,02-0124,2016-12-05,2016-11-29,6
MJR100,02-0124,2016-12-08,2016-12-05,3
MJR100,02-0124,2016-12-14,2016-12-08,6
MJR100,02-0124,2016-12-20,2016-12-14,6
MJR100,02-0124,2016-12-22,2016-12-20,2
MJR100,02-0124,2017-01-05,2016-12-22,14
MJR100,02-0124,2017-01-09,2017-01-05,4
MJR100,02-0124,2017-01-23,2017-01-09,14
MJR100,02-0124,2017-01-24,2017-01-23,1
MJR100,02-0124,2017-01-25,2017-01-24,1
MJR100,02-0124,2017-02-07,2017-01-25,13
MJR100,02-0124,2017-02-08,2017-02-07,1
MJR100,02-0124,2017-02-11,2017-02-08,3
MJR100,02-0124,2017-02-20,2017-02-11,9
MJR100,02-0124,2017-02-28,2017-02-20,8
MJR100,02-0124,2017-03-06,2017-02-28,6
MJR100,02-0124,2017-03-08,2017-03-06,2
MJR100,02-0124,2017-03-10,2017-03-08,2
MJR100,02-0124,2017-03-20,2017-03-10,10
MJR100,02-0124,2017-03-22,2017-03-20,2
MJR100,02-0124,2017-03-29,2017-03-22,7
MJR100,02-0124,2017-04-06,2017-03-29,8
MJR100,02-0124,2017-04-08,2017-04-06,2
