CustNo,ItemNo,InvDateCurr,InvDatePrior,PurchasePeriod
MOR179,02-3450,2016-09-06,2016-08-23,14
MOR179,02-3450,2016-09-20,2016-09-06,14
MOR179,02-3450,2016-10-21,2016-09-20,31
MOR179,02-3450,2016-11-10,2016-10-21,20
MOR179,02-3450,2016-11-22,2016-11-10,12
MOR179,02-3450,2016-12-20,2016-11-22,28
MOR179,02-3450,2017-01-12,2016-12-20,23
MOR179,02-3450,2017-02-14,2017-01-12,33
MOR179,02-3450,2017-02-21,2017-02-14,7
MOR179,02-3450,2017-02-23,2017-02-21,2
MOR179,02-3450,2017-03-16,2017-02-23,21
MOR179,02-3450,2017-03-23,2017-03-16,7
MOR179,02-3450,2017-03-28,2017-03-23,5
MOR179,02-3450,2017-03-30,2017-03-28,2
MOR179,02-3450,2017-04-25,2017-03-30,26
MOR179,02-3450,2017-04-27,2017-04-25,2
MOR179,02-3450,2017-05-25,2017-04-27,28
MOR179,02-3450,2017-06-06,2017-05-25,12
MOR179,02-3450,2017-06-20,2017-06-06,14
MOR179,02-3450,2017-07-05,2017-06-20,15
MOR179,02-3450,2017-07-11,2017-07-05,6
MOR179,02-3450,2017-08-03,2017-07-11,23
MOR179,02-3450,2017-08-08,2017-08-03,5
MOR179,02-3450,2017-08-29,2017-08-08,21
MOR179,02-3450,2017-09-19,2017-08-29,21
MOR179,02-3450,2017-10-03,2017-09-19,14
MOR179,02-3450,2017-10-10,2017-10-03,7
MOR179,02-3450,2017-10-24,2017-10-10,14
MOR179,02-3450,2017-10-31,2017-10-24,7
MOR179,02-3450,2017-11-07,2017-10-31,7
MOR179,02-3450,2017-11-14,2017-11-07,7
MOR179,02-3450,2017-11-28,2017-11-14,14
MOR179,02-3450,2017-12-12,2017-11-28,14
