CustNo,ItemNo,InvDateCurr,InvDatePrior,PurchasePeriod
MSP131,04-4942,2017-01-12,2017-01-11,1
MSP131,04-4942,2017-02-10,2017-01-12,29
MSP131,04-4942,2017-03-10,2017-02-10,28
MSP131,04-4942,2017-04-12,2017-03-10,33
MSP131,04-4942,2017-04-13,2017-04-12,1
MSP131,04-4942,2017-05-12,2017-04-13,29
MSP131,04-4942,2017-05-15,2017-05-12,3
MSP131,04-4942,2017-06-12,2017-05-15,28
MSP131,04-4942,2017-06-13,2017-06-12,1
MSP131,04-4942,2017-07-11,2017-06-13,28
MSP131,04-4942,2017-07-12,2017-07-11,1
MSP131,04-4942,2017-08-10,2017-07-12,29
MSP131,04-4942,2017-10-02,2017-08-10,53
MSP131,04-4942,2017-10-12,2017-10-02,10
