CustNo,ItemNo,InvDateCurr,InvDatePrior,PurchasePeriod
NET121,0258-18,2015-06-23,2015-06-04,19
NET121,0258-18,2015-08-01,2015-06-23,39
NET121,0258-18,2015-09-10,2015-08-01,40
NET121,0258-18,2015-10-13,2015-09-10,33
NET121,0258-18,2015-11-10,2015-10-13,28
NET121,0258-18,2015-11-17,2015-11-10,7
NET121,0258-18,2016-01-14,2015-11-17,58
NET121,0258-18,2016-01-18,2016-01-14,4
NET121,0258-18,2016-02-10,2016-01-18,23
NET121,0258-18,2016-03-08,2016-02-10,27
NET121,0258-18,2016-03-19,2016-03-08,11
NET121,0258-18,2016-04-04,2016-03-19,16
NET121,0258-18,2016-06-13,2016-04-04,70
NET121,0258-18,2016-07-19,2016-06-13,36
NET121,0258-18,2016-07-23,2016-07-19,4
NET121,0258-18,2016-09-14,2016-07-23,53
NET121,0258-18,2016-09-17,2016-09-14,3
NET121,0258-18,2016-11-15,2016-09-17,59
NET121,0258-18,2016-11-17,2016-11-15,2
NET121,0258-18,2016-12-10,2016-11-17,23
NET121,0258-18,2017-01-17,2016-12-10,38
NET121,0258-18,2017-02-15,2017-01-17,29
