CustNo,ItemNo,InvDateCurr,InvDatePrior,PurchasePeriod
NLP100,02-6050,2016-11-09,2016-10-28,12
NLP100,02-6050,2016-11-30,2016-11-09,21
NLP100,02-6050,2016-12-23,2016-11-30,23
NLP100,02-6050,2017-01-12,2016-12-23,20
NLP100,02-6050,2017-01-27,2017-01-12,15
NLP100,02-6050,2017-03-28,2017-01-27,60
NLP100,02-6050,2017-04-03,2017-03-28,6
NLP100,02-6050,2017-04-17,2017-04-03,14
NLP100,02-6050,2017-05-08,2017-04-17,21
NLP100,02-6050,2017-06-06,2017-05-08,29
NLP100,02-6050,2017-06-13,2017-06-06,7
NLP100,02-6050,2017-06-30,2017-06-13,17
NLP100,02-6050,2017-07-21,2017-06-30,21
NLP100,02-6050,2017-08-02,2017-07-21,12
NLP100,02-6050,2017-08-28,2017-08-02,26
NLP100,02-6050,2017-09-13,2017-08-28,16
NLP100,02-6050,2017-10-03,2017-09-13,20
NLP100,02-6050,2017-11-01,2017-10-03,29
