CustNo,ItemNo,InvDateCurr,InvDatePrior,PurchasePeriod
PAR261,02-6776,2015-08-11,2015-08-10,1
PAR261,02-6776,2015-08-31,2015-08-11,20
PAR261,02-6776,2015-09-04,2015-08-31,4
PAR261,02-6776,2015-09-11,2015-09-04,7
PAR261,02-6776,2015-09-28,2015-09-11,17
PAR261,02-6776,2015-10-07,2015-09-28,9
PAR261,02-6776,2015-10-28,2015-10-07,21
PAR261,02-6776,2015-11-04,2015-10-28,7
PAR261,02-6776,2015-11-17,2015-11-04,13
PAR261,02-6776,2015-11-24,2015-11-17,7
PAR261,02-6776,2015-11-30,2015-11-24,6
PAR261,02-6776,2015-12-01,2015-11-30,1
PAR261,02-6776,2015-12-21,2015-12-01,20
PAR261,02-6776,2015-12-22,2015-12-21,1
PAR261,02-6776,2016-01-21,2015-12-22,30
PAR261,02-6776,2016-02-10,2016-01-21,20
PAR261,02-6776,2016-02-12,2016-02-10,2
PAR261,02-6776,2016-02-16,2016-02-12,4
PAR261,02-6776,2016-02-23,2016-02-16,7
PAR261,02-6776,2016-04-05,2016-02-23,42
PAR261,02-6776,2016-04-21,2016-04-05,16
PAR261,02-6776,2016-05-12,2016-04-21,21
PAR261,02-6776,2016-05-17,2016-05-12,5
PAR261,02-6776,2016-05-25,2016-05-17,8
PAR261,02-6776,2016-06-02,2016-05-25,8
PAR261,02-6776,2016-06-06,2016-06-02,4
PAR261,02-6776,2016-06-07,2016-06-06,1
PAR261,02-6776,2016-06-13,2016-06-07,6
PAR261,02-6776,2016-07-18,2016-06-13,35
PAR261,02-6776,2016-07-20,2016-07-18,2
PAR261,02-6776,2016-07-21,2016-07-20,1
PAR261,02-6776,2016-07-29,2016-07-21,8
PAR261,02-6776,2016-08-01,2016-07-29,3
PAR261,02-6776,2016-08-02,2016-08-01,1
PAR261,02-6776,2016-08-04,2016-08-02,2
PAR261,02-6776,2016-08-22,2016-08-04,18
PAR261,02-6776,2016-09-14,2016-08-22,23
PAR261,02-6776,2016-09-16,2016-09-14,2
PAR261,02-6776,2016-09-19,2016-09-16,3
PAR261,02-6776,2016-09-26,2016-09-19,7
PAR261,02-6776,2016-10-14,2016-09-26,18
PAR261,02-6776,2016-10-20,2016-10-14,6
PAR261,02-6776,2016-11-01,2016-10-20,12
PAR261,02-6776,2016-11-04,2016-11-01,3
PAR261,02-6776,2016-11-15,2016-11-04,11
PAR261,02-6776,2016-11-18,2016-11-15,3
PAR261,02-6776,2016-11-28,2016-11-18,10
PAR261,02-6776,2016-11-29,2016-11-28,1
PAR261,02-6776,2016-12-01,2016-11-29,2
PAR261,02-6776,2016-12-05,2016-12-01,4
PAR261,02-6776,2016-12-06,2016-12-05,1
PAR261,02-6776,2016-12-15,2016-12-06,9
PAR261,02-6776,2016-12-28,2016-12-15,13
PAR261,02-6776,2016-12-29,2016-12-28,1
PAR261,02-6776,2017-01-12,2016-12-29,14
PAR261,02-6776,2017-01-18,2017-01-12,6
PAR261,02-6776,2017-01-24,2017-01-18,6
