CustNo,ItemNo,InvDateCurr,InvDatePrior,PurchasePeriod
PHA314,06-3130,2016-06-13,2016-05-26,18
PHA314,06-3130,2016-07-13,2016-06-13,30
PHA314,06-3130,2016-07-18,2016-07-13,5
PHA314,06-3130,2016-07-19,2016-07-18,1
PHA314,06-3130,2016-07-21,2016-07-19,2
PHA314,06-3130,2016-07-28,2016-07-21,7
PHA314,06-3130,2016-08-05,2016-07-28,8
PHA314,06-3130,2016-08-11,2016-08-05,6
PHA314,06-3130,2016-08-15,2016-08-11,4
PHA314,06-3130,2016-08-16,2016-08-15,1
PHA314,06-3130,2016-09-01,2016-08-16,16
PHA314,06-3130,2016-09-14,2016-09-01,13
PHA314,06-3130,2016-09-15,2016-09-14,1
PHA314,06-3130,2016-09-19,2016-09-15,4
