CustNo,ItemNo,InvDateCurr,InvDatePrior,PurchasePeriod
PRO261,02-0787,2017-02-28,2016-10-03,148
PRO261,02-0787,2017-03-11,2017-02-28,11
PRO261,02-0787,2017-03-13,2017-03-11,2
PRO261,02-0787,2017-04-28,2017-03-13,46
PRO261,02-0787,2017-05-18,2017-04-28,20
PRO261,02-0787,2017-05-30,2017-05-18,12
PRO261,02-0787,2017-06-23,2017-05-30,24
PRO261,02-0787,2017-07-10,2017-06-23,17
PRO261,02-0787,2017-08-07,2017-07-10,28
PRO261,02-0787,2017-08-08,2017-08-07,1
PRO261,02-0787,2017-09-06,2017-08-08,29
PRO261,02-0787,2017-10-10,2017-09-06,34
PRO261,02-0787,2017-12-11,2017-10-10,62
