CustNo,ItemNo,InvDateCurr,InvDatePrior,PurchasePeriod
RAJ101,02-1289,2016-02-09,2015-05-19,266
RAJ101,02-1289,2016-02-13,2016-02-09,4
RAJ101,02-1289,2016-03-14,2016-02-13,30
RAJ101,02-1289,2016-03-24,2016-03-14,10
RAJ101,02-1289,2016-04-12,2016-03-24,19
RAJ101,02-1289,2016-04-27,2016-04-12,15
RAJ101,02-1289,2016-05-05,2016-04-27,8
RAJ101,02-1289,2016-05-13,2016-05-05,8
RAJ101,02-1289,2016-06-23,2016-05-13,41
RAJ101,02-1289,2016-06-24,2016-06-23,1
RAJ101,02-1289,2016-07-15,2016-06-24,21
RAJ101,02-1289,2016-07-22,2016-07-15,7
RAJ101,02-1289,2016-08-09,2016-07-22,18
RAJ101,02-1289,2016-08-23,2016-08-09,14
RAJ101,02-1289,2016-09-01,2016-08-23,9
RAJ101,02-1289,2016-09-07,2016-09-01,6
