CustNo,ItemNo,InvDateCurr,InvDatePrior,PurchasePeriod
RAN138,02-6776,2015-12-01,2015-11-05,26
RAN138,02-6776,2016-02-08,2015-12-01,69
RAN138,02-6776,2016-03-15,2016-02-08,36
RAN138,02-6776,2016-05-16,2016-03-15,62
RAN138,02-6776,2016-06-07,2016-05-16,22
RAN138,02-6776,2016-07-29,2016-06-07,52
RAN138,02-6776,2016-08-02,2016-07-29,4
RAN138,02-6776,2016-08-08,2016-08-02,6
RAN138,02-6776,2016-09-15,2016-08-08,38
RAN138,02-6776,2016-09-29,2016-09-15,14
RAN138,02-6776,2016-12-30,2016-09-29,92
RAN138,02-6776,2017-01-06,2016-12-30,7
RAN138,02-6776,2017-01-20,2017-01-06,14
