CustNo,ItemNo,InvDateCurr,InvDatePrior,PurchasePeriod
RAY141,02-1954,2017-07-10,2017-06-22,18
RAY141,02-1954,2017-07-13,2017-07-10,3
RAY141,02-1954,2017-07-14,2017-07-13,1
RAY141,02-1954,2017-07-27,2017-07-14,13
RAY141,02-1954,2017-08-01,2017-07-27,5
RAY141,02-1954,2017-09-05,2017-08-01,35
RAY141,02-1954,2017-10-03,2017-09-05,28
RAY141,02-1954,2017-10-05,2017-10-03,2
RAY141,02-1954,2017-10-10,2017-10-05,5
RAY141,02-1954,2017-10-12,2017-10-10,2
RAY141,02-1954,2017-10-23,2017-10-12,11
RAY141,02-1954,2017-11-06,2017-10-23,14
RAY141,02-1954,2017-11-08,2017-11-06,2
