CustNo,ItemNo,InvDateCurr,InvDatePrior,PurchasePeriod
RED148,02-2633,2017-03-07,2017-02-07,28
RED148,02-2633,2017-03-08,2017-03-07,1
RED148,02-2633,2017-03-14,2017-03-08,6
RED148,02-2633,2017-03-30,2017-03-14,16
RED148,02-2633,2017-04-04,2017-03-30,5
RED148,02-2633,2017-04-11,2017-04-04,7
RED148,02-2633,2017-04-24,2017-04-11,13
RED148,02-2633,2017-05-02,2017-04-24,8
RED148,02-2633,2017-05-09,2017-05-02,7
RED148,02-2633,2017-09-25,2017-05-09,139
RED148,02-2633,2017-09-26,2017-09-25,1
RED148,02-2633,2017-12-05,2017-09-26,70
RED148,02-2633,2017-12-11,2017-12-05,6
