CustNo,ItemNo,InvDateCurr,InvDatePrior,PurchasePeriod
RID148,02-5171,2016-06-23,2016-02-18,126
RID148,02-5171,2016-08-11,2016-06-23,49
RID148,02-5171,2016-09-15,2016-08-11,35
RID148,02-5171,2016-10-12,2016-09-15,27
RID148,02-5171,2016-11-14,2016-10-12,33
RID148,02-5171,2016-12-16,2016-11-14,32
RID148,02-5171,2017-04-12,2016-12-16,117
RID148,02-5171,2017-05-12,2017-04-12,30
RID148,02-5171,2017-06-07,2017-05-12,26
RID148,02-5171,2017-07-07,2017-06-07,30
RID148,02-5171,2017-07-20,2017-07-07,13
RID148,02-5171,2017-08-09,2017-07-20,20
RID148,02-5171,2017-09-11,2017-08-09,33
RID148,02-5171,2017-09-29,2017-09-11,18
RID148,02-5171,2017-11-03,2017-09-29,35
RID148,02-5171,2017-12-06,2017-11-03,33
