CustNo,ItemNo,InvDateCurr,InvDatePrior,PurchasePeriod
RIP107,02-3240,2015-10-02,2015-07-13,81
RIP107,02-3240,2015-11-04,2015-10-02,33
RIP107,02-3240,2015-12-07,2015-11-04,33
RIP107,02-3240,2015-12-30,2015-12-07,23
RIP107,02-3240,2016-02-01,2015-12-30,33
RIP107,02-3240,2016-02-13,2016-02-01,12
RIP107,02-3240,2016-03-15,2016-02-13,31
RIP107,02-3240,2016-05-06,2016-03-15,52
RIP107,02-3240,2016-05-24,2016-05-06,18
RIP107,02-3240,2016-08-23,2016-05-24,91
RIP107,02-3240,2016-09-07,2016-08-23,15
RIP107,02-3240,2016-10-19,2016-09-07,42
RIP107,02-3240,2017-02-14,2016-10-19,118
