CustNo,ItemNo,InvDateCurr,InvDatePrior,PurchasePeriod
RXP119,02-3240,2016-04-08,2016-03-31,8
RXP119,02-3240,2016-04-25,2016-04-08,17
RXP119,02-3240,2016-05-17,2016-04-25,22
RXP119,02-3240,2016-05-23,2016-05-17,6
RXP119,02-3240,2016-06-20,2016-05-23,28
RXP119,02-3240,2016-06-28,2016-06-20,8
RXP119,02-3240,2016-06-30,2016-06-28,2
RXP119,02-3240,2016-07-20,2016-06-30,20
RXP119,02-3240,2016-08-02,2016-07-20,13
RXP119,02-3240,2016-08-18,2016-08-02,16
RXP119,02-3240,2016-08-26,2016-08-18,8
RXP119,02-3240,2016-09-01,2016-08-26,6
RXP119,02-3240,2016-09-08,2016-09-01,7
RXP119,02-3240,2016-09-26,2016-09-08,18
RXP119,02-3240,2016-10-06,2016-09-26,10
RXP119,02-3240,2016-10-26,2016-10-06,20
RXP119,02-3240,2016-11-17,2016-10-26,22
RXP119,02-3240,2016-11-28,2016-11-17,11
RXP119,02-3240,2016-12-19,2016-11-28,21
RXP119,02-3240,2016-12-27,2016-12-19,8
RXP119,02-3240,2017-01-19,2016-12-27,23
RXP119,02-3240,2017-01-26,2017-01-19,7
RXP119,02-3240,2017-02-16,2017-01-26,21
RXP119,02-3240,2017-03-01,2017-02-16,13
RXP119,02-3240,2017-03-20,2017-03-01,19
RXP119,02-3240,2017-03-21,2017-03-20,1
RXP119,02-3240,2017-03-28,2017-03-21,7
RXP119,02-3240,2017-03-30,2017-03-28,2
RXP119,02-3240,2017-04-26,2017-03-30,27
RXP119,02-3240,2017-05-23,2017-04-26,27
RXP119,02-3240,2017-06-08,2017-05-23,16
RXP119,02-3240,2017-06-21,2017-06-08,13
RXP119,02-3240,2017-06-28,2017-06-21,7
RXP119,02-3240,2017-07-18,2017-06-28,20
RXP119,02-3240,2017-07-25,2017-07-18,7
