CustNo,ItemNo,InvDateCurr,InvDatePrior,PurchasePeriod
SAI135,03-2830,2016-09-07,2016-07-06,63
SAI135,03-2830,2016-10-31,2016-09-07,54
SAI135,03-2830,2017-01-03,2016-10-31,64
SAI135,03-2830,2017-01-04,2017-01-03,1
SAI135,03-2830,2017-01-20,2017-01-04,16
SAI135,03-2830,2017-02-01,2017-01-20,12
SAI135,03-2830,2017-02-13,2017-02-01,12
SAI135,03-2830,2017-04-06,2017-02-13,52
SAI135,03-2830,2017-04-07,2017-04-06,1
SAI135,03-2830,2017-05-01,2017-04-07,24
SAI135,03-2830,2017-05-08,2017-05-01,7
SAI135,03-2830,2017-06-01,2017-05-08,24
SAI135,03-2830,2017-07-03,2017-06-01,32
