CustNo,ItemNo,InvDateCurr,InvDatePrior,PurchasePeriod
SAN179,06-5564,2017-07-03,2017-06-30,3
SAN179,06-5564,2017-07-10,2017-07-03,7
SAN179,06-5564,2017-07-11,2017-07-10,1
SAN179,06-5564,2017-08-02,2017-07-11,22
SAN179,06-5564,2017-08-30,2017-08-02,28
SAN179,06-5564,2017-09-14,2017-08-30,15
SAN179,06-5564,2017-10-03,2017-09-14,19
SAN179,06-5564,2017-10-09,2017-10-03,6
SAN179,06-5564,2017-11-06,2017-10-09,28
SAN179,06-5564,2017-11-13,2017-11-06,7
SAN179,06-5564,2017-11-20,2017-11-13,7
SAN179,06-5564,2017-12-01,2017-11-20,11
