CustNo,ItemNo,InvDateCurr,InvDatePrior,PurchasePeriod
SEN121,02-6355,2015-11-12,2015-10-21,22
SEN121,02-6355,2015-11-17,2015-11-12,5
SEN121,02-6355,2015-12-02,2015-11-17,15
SEN121,02-6355,2015-12-23,2015-12-02,21
SEN121,02-6355,2016-02-04,2015-12-23,43
SEN121,02-6355,2016-02-16,2016-02-04,12
SEN121,02-6355,2016-02-25,2016-02-16,9
SEN121,02-6355,2016-03-21,2016-02-25,25
SEN121,02-6355,2016-04-05,2016-03-21,15
SEN121,02-6355,2016-04-19,2016-04-05,14
SEN121,02-6355,2016-05-11,2016-04-19,22
SEN121,02-6355,2016-05-12,2016-05-11,1
SEN121,02-6355,2016-05-16,2016-05-12,4
SEN121,02-6355,2016-05-20,2016-05-16,4
