CustNo,ItemNo,InvDateCurr,InvDatePrior,PurchasePeriod
SMI126,02-3741,2015-06-23,2015-05-06,48
SMI126,02-3741,2015-09-17,2015-06-23,86
SMI126,02-3741,2016-02-15,2015-09-17,151
SMI126,02-3741,2016-03-14,2016-02-15,28
SMI126,02-3741,2016-06-16,2016-03-14,94
SMI126,02-3741,2016-12-21,2016-06-16,188
SMI126,02-3741,2017-03-30,2016-12-21,99
SMI126,02-3741,2017-06-29,2017-03-30,91
SMI126,02-3741,2017-08-17,2017-06-29,49
SMI126,02-3741,2017-08-18,2017-08-17,1
SMI126,02-3741,2017-10-02,2017-08-18,45
SMI126,02-3741,2017-11-07,2017-10-02,36
