CustNo,ItemNo,InvDateCurr,InvDatePrior,PurchasePeriod
SOM108,02-6388,2016-07-14,2016-06-28,16
SOM108,02-6388,2016-07-18,2016-07-14,4
SOM108,02-6388,2016-08-02,2016-07-18,15
SOM108,02-6388,2016-08-08,2016-08-02,6
SOM108,02-6388,2016-08-30,2016-08-08,22
SOM108,02-6388,2016-09-12,2016-08-30,13
SOM108,02-6388,2016-09-29,2016-09-12,17
SOM108,02-6388,2016-10-03,2016-09-29,4
SOM108,02-6388,2016-10-10,2016-10-03,7
SOM108,02-6388,2016-10-26,2016-10-10,16
SOM108,02-6388,2016-11-28,2016-10-26,33
SOM108,02-6388,2016-12-15,2016-11-28,17
SOM108,02-6388,2016-12-27,2016-12-15,12
SOM108,02-6388,2017-01-16,2016-12-27,20
