CustNo,ItemNo,InvDateCurr,InvDatePrior,PurchasePeriod
SPE130,02-5492,2017-03-01,2017-02-20,9
SPE130,02-5492,2017-03-15,2017-03-01,14
SPE130,02-5492,2017-03-20,2017-03-15,5
SPE130,02-5492,2017-03-27,2017-03-20,7
SPE130,02-5492,2017-04-14,2017-03-27,18
SPE130,02-5492,2017-04-24,2017-04-14,10
SPE130,02-5492,2017-05-03,2017-04-24,9
SPE130,02-5492,2017-05-19,2017-05-03,16
SPE130,02-5492,2017-05-26,2017-05-19,7
SPE130,02-5492,2017-06-07,2017-05-26,12
SPE130,02-5492,2017-06-15,2017-06-07,8
SPE130,02-5492,2017-06-20,2017-06-15,5
SPE130,02-5492,2017-06-22,2017-06-20,2
SPE130,02-5492,2017-06-27,2017-06-22,5
SPE130,02-5492,2017-06-30,2017-06-27,3
SPE130,02-5492,2017-08-08,2017-06-30,39
SPE130,02-5492,2017-08-21,2017-08-08,13
SPE130,02-5492,2017-09-06,2017-08-21,16
SPE130,02-5492,2017-09-12,2017-09-06,6
SPE130,02-5492,2017-09-26,2017-09-12,14
SPE130,02-5492,2017-11-06,2017-09-26,41
SPE130,02-5492,2017-11-15,2017-11-06,9
SPE130,02-5492,2017-11-27,2017-11-15,12
SPE130,02-5492,2017-12-06,2017-11-27,9
