CustNo,ItemNo,InvDateCurr,InvDatePrior,PurchasePeriod
SUP198,SPC1416,2016-03-03,2016-03-01,2
SUP198,SPC1416,2016-03-10,2016-03-03,7
SUP198,SPC1416,2016-03-17,2016-03-10,7
SUP198,SPC1416,2016-03-23,2016-03-17,6
SUP198,SPC1416,2017-08-18,2016-03-23,513
SUP198,SPC1416,2017-09-06,2017-08-18,19
SUP198,SPC1416,2017-10-02,2017-09-06,26
SUP198,SPC1416,2017-10-09,2017-10-02,7
SUP198,SPC1416,2017-10-13,2017-10-09,4
SUP198,SPC1416,2017-10-24,2017-10-13,11
SUP198,SPC1416,2017-10-26,2017-10-24,2
SUP198,SPC1416,2017-11-06,2017-10-26,11
SUP198,SPC1416,2017-11-08,2017-11-06,2
SUP198,SPC1416,2017-11-10,2017-11-08,2
SUP198,SPC1416,2017-11-13,2017-11-10,3
SUP198,SPC1416,2017-11-15,2017-11-13,2
