CustNo,ItemNo,InvDateCurr,InvDatePrior,PurchasePeriod
THE188,07-2274,2015-06-23,2015-05-26,28
THE188,07-2274,2015-07-16,2015-06-23,23
THE188,07-2274,2015-10-30,2015-07-16,106
THE188,07-2274,2015-11-24,2015-10-30,25
THE188,07-2274,2015-12-17,2015-11-24,23
THE188,07-2274,2016-02-05,2015-12-17,50
THE188,07-2274,2016-03-01,2016-02-05,25
THE188,07-2274,2016-04-01,2016-03-01,31
THE188,07-2274,2016-04-25,2016-04-01,24
THE188,07-2274,2016-05-27,2016-04-25,32
THE188,07-2274,2016-08-12,2016-05-27,77
THE188,07-2274,2016-09-22,2016-08-12,41
THE188,07-2274,2016-10-14,2016-09-22,22
THE188,07-2274,2016-11-17,2016-10-14,34
THE188,07-2274,2016-12-20,2016-11-17,33
THE188,07-2274,2017-01-26,2016-12-20,37
THE188,07-2274,2017-03-03,2017-01-26,36
THE188,07-2274,2017-03-29,2017-03-03,26
