CustNo,ItemNo,InvDateCurr,InvDatePrior,PurchasePeriod
THR189,06-4840,2016-04-19,2016-03-03,47
THR189,06-4840,2016-05-11,2016-04-19,22
THR189,06-4840,2016-08-23,2016-05-11,104
THR189,06-4840,2016-08-30,2016-08-23,7
THR189,06-4840,2016-09-13,2016-08-30,14
THR189,06-4840,2016-10-18,2016-09-13,35
THR189,06-4840,2016-11-14,2016-10-18,27
THR189,06-4840,2016-12-05,2016-11-14,21
THR189,06-4840,2016-12-09,2016-12-05,4
THR189,06-4840,2017-01-25,2016-12-09,47
THR189,06-4840,2017-03-14,2017-01-25,48
THR189,06-4840,2017-03-27,2017-03-14,13
THR189,06-4840,2017-05-01,2017-03-27,35
